Year,Time series,Tourism Industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,Employees,Food and beverage serving activities,.,,,
2017,Employees,Food and beverage serving activities,.,,,
2018,Employees,Food and beverage serving activities,.,,,
2019,Employees,Food and beverage serving activities,.,,,
2020,Employees,Food and beverage serving activities,,,,1147866.0
2021,Employees,Food and beverage serving activities,,,,1281136.0
2022,Employees,Food and beverage serving activities,,,,1338977.0
2023,Employees,Food and beverage serving activities,,,,1363796.0
2010,Employees,Railway passenger transport,.,,,
2011,Employees,Railway passenger transport,.,,,
2012,Employees,Railway passenger transport,.,,,
2013,Employees,Railway passenger transport,.,,,
2014,Employees,Railway passenger transport,.,,,
2015,Employees,Railway passenger transport,.,,,
2016,Employees,Railway passenger transport,.,,,
2017,Employees,Railway passenger transport,.,,,
2018,Employees,Railway passenger transport,.,,,
2019,Employees,Railway passenger transport,.,,,
2020,Employees,Railway passenger transport,.,,,
2021,Employees,Railway passenger transport,.,,,
2022,Employees,Railway passenger transport,,,,25202.0
2023,Employees,Railway passenger transport,,,,25719.0
2010,Employees,Road passenger transport,.,,,
2011,Employees,Road passenger transport,.,,,
2012,Employees,Road passenger transport,.,,,
2013,Employees,Road passenger transport,.,,,
2014,Employees,Road passenger transport,.,,,
2015,Employees,Road passenger transport,.,,,
2016,Employees,Road passenger transport,.,,,
2017,Employees,Road passenger transport,.,,,
2018,Employees,Road passenger transport,.,,,
2019,Employees,Road passenger transport,.,,,
2020,Employees,Road passenger transport,,,,141037.0
2021,Employees,Road passenger transport,,,,164689.0
2022,Employees,Road passenger transport,,,,171881.0
2023,Employees,Road passenger transport,,,,182026.0
2010,Employees,Water passenger transport,.,,,
2011,Employees,Water passenger transport,.,,,
2012,Employees,Water passenger transport,.,,,
2013,Employees,Water passenger transport,.,,,
2014,Employees,Water passenger transport,.,,,
2015,Employees,Water passenger transport,.,,,
2016,Employees,Water passenger transport,.,,,
2017,Employees,Water passenger transport,.,,,
2018,Employees,Water passenger transport,.,,,
2019,Employees,Water passenger transport,.,,,
2020,Employees,Water passenger transport,,,,8137.0
2021,Employees,Water passenger transport,,,,8254.0
2022,Employees,Water passenger transport,,,,8710.0
2023,Employees,Water passenger transport,,,,8480.0
2010,Employees,Air passenger transport,.,,,
2011,Employees,Air passenger transport,.,,,
2012,Employees,Air passenger transport,.,,,
