Year,Units,Zeitreihe,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,7296.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,7525.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,7273.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,7628.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,6840.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,7967.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,|,r,,7673.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,8152.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,r,,,8451.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Weiblich,,,,8839.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,899.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,961.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,906.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,892.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,975.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,966.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,1074.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,1077.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,1189.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,1191.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,1352.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,|,r,,1362.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,1488.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,r,,,1715.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl nicht-sexueller Belästigung,60 Jahre und älter,Männlich,,,,1934.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,0.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,r,,,0.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,r,,,0.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,r,,,0.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,r,,,0.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,|,r,,47.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,r,,,144.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,r,,,130.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,,,,,140.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,0.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,r,,,0.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,r,,,0.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,r,,,0.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,r,,,0.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,|,r,,32.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,r,,,118.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,r,,,107.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Weiblich,,,,91.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,0.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,r,,,0.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,r,,,0.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,r,,,0.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,r,,,0.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,|,r,,15.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,r,,,26.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,r,,,23.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,,Männlich,,,,49.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1267.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1362.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1356.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1384.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1368.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1245.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1149.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,r,,,1104.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,r,,,1110.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,r,,,931.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,r,,,1067.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,|,r,,1070.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,r,,,1243.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,r,,,1208.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,,,,,1367.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1112.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1217.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1221.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1235.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1228.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1151.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1024.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,955.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,958.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,811.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,928.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,|,r,,936.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,1076.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,r,,,1022.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Weiblich,,,,1152.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,155.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,145.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,135.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,149.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,140.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,94.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,125.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,149.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,152.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,120.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,139.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,|,r,,134.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,167.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,r,,,186.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,13 Jahre und jünger,Männlich,,,,215.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,796.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,811.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,808.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,752.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,809.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,803.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,776.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,r,,,931.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,r,,,878.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,r,,,725.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,r,,,969.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,|,r,,883.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,r,,,925.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,r,,,934.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,,,,,1040.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,728.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,747.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,752.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,694.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,754.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,740.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,702.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,858.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,783.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,640.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,876.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,|,r,,789.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,826.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,r,,,825.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Weiblich,,,,901.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,68.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,64.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,56.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,58.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,55.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,63.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,74.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,73.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,95.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,85.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,93.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,|,r,,94.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,99.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,r,,,109.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,14 bis unter 18 Jahre,Männlich,,,,139.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,4797.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,5125.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,5438.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,5293.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,5463.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,5446.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,5894.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,r,,,5565.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,r,,,6020.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,r,,,5637.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,r,,,6486.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,|,r,,6245.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,r,,,6542.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,r,,,6985.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,,,,,7309.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,4192.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,4468.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,4801.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,4672.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,4761.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,4734.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,5097.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,4802.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,5198.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,4727.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,5487.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,|,r,,5227.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,5461.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,r,,,5753.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Weiblich,,,,5948.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,605.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,657.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,637.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,621.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,702.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,712.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,797.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,763.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,822.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,910.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,999.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,|,r,,1018.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,1081.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,r,,,1232.0
2024,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,18 bis unter 21 Jahre,Männlich,,,,1361.0
2010,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,663.0
2011,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,713.0
2012,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,704.0
2013,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,732.0
2014,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,716.0
2015,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,768.0
2016,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,,,,780.0
2017,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,r,,,750.0
2018,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,r,,,809.0
2019,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,r,,,738.0
2020,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,r,,,797.0
2021,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,|,r,,790.0
2022,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,r,,,786.0
2023,Je 100 000 Einwohner/-innen,Opfergefährdungszahl sexueller Belästigung,21 bis unter 60 Jahre,,r,,,909.0
