Year,timeseries,tourism industries,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,employees,cultural activities,…,,,
2019,employees,cultural activities,…,,,
2020,employees,cultural activities,…,,,
2021,employees,cultural activities,,,,48031
2022,employees,cultural activities,,,,53906
2023,employees,cultural activities,,,,56266
2010,employees,sports and recreational activities,…,,,
2011,employees,sports and recreational activities,…,,,
2012,employees,sports and recreational activities,…,,,
2013,employees,sports and recreational activities,…,,,
2014,employees,sports and recreational activities,…,,,
2015,employees,sports and recreational activities,…,,,
2016,employees,sports and recreational activities,…,,,
2017,employees,sports and recreational activities,…,,,
2018,employees,sports and recreational activities,…,,,
2019,employees,sports and recreational activities,…,,,
2020,employees,sports and recreational activities,…,,,
2021,employees,sports and recreational activities,,,,275068
2022,employees,sports and recreational activities,,,,286360
2023,employees,sports and recreational activities,,,,276102
2010,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2011,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2012,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2013,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2014,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2015,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2016,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2017,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2018,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2019,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,…,,,
2020,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,,,,289724
2021,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,,,,345255
2022,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,,,,353567
2023,employees jobs (in full-time equivalent),accommodation for visitors: hotels and similar establishments,,,,353567
2010,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2011,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2012,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2013,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2014,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2015,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2016,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2017,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2018,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2019,employees jobs (in full-time equivalent),accommodation for visitors: other,…,,,
2020,employees jobs (in full-time equivalent),accommodation for visitors: other,,,,270579
2021,employees jobs (in full-time equivalent),accommodation for visitors: other,,,,406427
2022,employees jobs (in full-time equivalent),accommodation for visitors: other,,,,377342
2023,employees jobs (in full-time equivalent),accommodation for visitors: other,,,,374218
2010,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2011,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2012,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2013,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2014,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2015,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2016,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2017,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2018,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2019,employees jobs (in full-time equivalent),food and beverage serving activities,…,,,
2020,employees jobs (in full-time equivalent),food and beverage serving activities,,,,743998
2021,employees jobs (in full-time equivalent),food and beverage serving activities,,,,1072961
2022,employees jobs (in full-time equivalent),food and beverage serving activities,,,,925027
2023,employees jobs (in full-time equivalent),food and beverage serving activities,,,,932114
2010,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2011,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2012,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2013,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2014,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2015,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2016,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2017,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2018,employees jobs (in full-time equivalent),railway passenger transport,…,,,
2019,employees jobs (in full-time equivalent),railway passenger transport,…,,,
